name,struct_name,lambda,mean_pixels,stderr_pixels,mean_error,stderr_error,var_error
addison_pupilclean,2_3,0.000100,12357.0,110.01454449298964,3.9333719059061016e+44,3.8135849929507688e+44,2.703641898137143e+89
addison_pupilclean,2_3,0.000215,12233.200000000001,291.24530931021013,3.1267252825951766e+44,2.9644646477574073e+44,1.6337095939551328e+89
addison_pupilclean,2_3,0.000464,12082.0,510.8380714394728,1.8759172638131427e+44,1.8110678803042044e+44,6.0974993810781627e+88
addison_pupilclean,2_3,0.001000,10524.6,2460.6651640458517,1.0026958907898799e+44,9.9025746743317763e+43,1.8229659648408148e+88
addison_pupilclean,2_3,0.002154,10402.4,2500.7020119919921,5.6170022361514254e+43,5.8159873688292427e+43,6.2882415739108613e+87
addison_pupilclean,2_3,0.004642,10214.799999999999,2632.3024607098623,3.5976283542760087e+43,4.0085549299524646e+43,2.9871565709485078e+87
addison_pupilclean,2_3,0.010000,9976.0,2988.9886486716537,3.4020716058327309e+43,4.2862558986949984e+43,3.4153758233747902e+87
addison_pupilclean,2_3,0.021544,8073.3999999999996,3888.9972999873371,3.3375670236773347e+43,4.4799281147723714e+43,3.7309926965957649e+87
addison_pupilclean,2_3,0.046416,7822.1999999999998,2783.7453874237849,4.8623406226130987e+43,6.0865794122603853e+43,6.8869811387849457e+87
addison_pupilclean,2_3,0.100000,4730.3999999999996,2565.1095082769466,5.1841093925538321e+43,6.4450106816232338e+43,7.7219963351869403e+87
