name,lambda,mean,std
addison2,0.0001,5.760981632,0.481168974
addison2,0.000215,5.917023299,0.389550003
addison2,0.000464,6.123866736,0.2109049
addison2,0.001,6.387878833,0.158508415
addison2,0.002154,6.259321886,0.191644643
addison2,0.004642,5.972604999,0.111649751
addison2,0.01,6.263401376,0.15419429
addison2,0.021544,7.594555871,0.295999687
addison2,0.046416,11.66225957,1.570331309
addison2,0.1,21.7880113,10.85028643
dan,0.0001,6.31300473,0.260302045
dan,0.000215,6.694965789,0.567094644
dan,0.000464,7.158132153,0.221615264
dan,0.001,7.3393547,0.569862322
dan,0.002154,7.629752254,0.332510267
dan,0.004642,7.322084151,0.562092196
dan,0.01,8.96040524,0.58166547
dan,0.021544,10.49637138,0.392331593
dan,0.046416,15.03472718,1.101043196
dan,0.1,29.52876006,0.289607648
james,0.0001,9.211592088,0.50095285
james,0.000215,9.36944058,0.369237961
james,0.000464,9.654036329,0.2352789
james,0.001,9.807573615,0.475053487
james,0.002154,10.26464125,0.449667577
james,0.004642,10.63729537,0.346020512
james,0.01,10.87806518,0.252244668
james,0.021544,12.81197531,0.205083623
james,0.046416,24.87852748,1.013301256
james,0.1,24.39528828,6.732449196
john,0.0001,7.566915727,0.340424406
john,0.000215,7.398066015,0.263100513
john,0.000464,7.710263513,0.27515334
john,0.001,8.235590772,0.576498303
john,0.002154,8.427872692,0.174282103
john,0.004642,8.398927713,0.318429976
john,0.01,8.899196324,0.198220819
john,0.021544,10.61066089,0.237859952
john,0.046416,19.48113046,4.685936146
john,0.1,16.48438974,3.743767792
keith,0.0001,11.6014199,0.299307429
keith,0.000215,11.39885965,0.126273327
keith,0.000464,12.06834753,0.288878777
keith,0.001,12.06072863,0.324935817
keith,0.002154,13.11013115,0.724299883
keith,0.004642,13.03086743,0.259426699
keith,0.01,13.49876672,0.276095243
keith,0.021544,15.16368602,0.866322603
keith,0.046416,30.35127714,4.950449755
keith,0.1,30.72074024,6.128565041
luis,0.0001,17.56390737,1.389166639
luis,0.000215,17.49642085,1.344253342
luis,0.000464,17.2739393,1.321257153
luis,0.001,17.95724147,0.918945075
luis,0.002154,18.81187631,0.790477312
luis,0.004642,18.90720301,1.465878033
luis,0.01,20.24450741,0.851507292
luis,0.021544,22.59599131,1.328479631
luis,0.046416,33.10774988,3.875043622
luis,0.1,35.28291917,1.628272456
michelle,0.0001,14.19095905,0.725206158
michelle,0.000215,14.54573354,0.636165943
michelle,0.000464,14.71431505,0.479490665
michelle,0.001,14.93736127,0.595443476
michelle,0.002154,15.33814696,0.501297762
michelle,0.004642,15.29331688,0.376936612
michelle,0.01,15.87560951,0.632093356
michelle,0.021544,17.04677072,0.596192812
michelle,0.046416,28.26743674,1.485132719
michelle,0.1,28.35800017,1.314715407
niri,0.0001,8.965326277,0.578312334
niri,0.000215,9.399398282,0.604874352
niri,0.000464,10.01346821,0.273262118
niri,0.001,10.47599607,0.234600533
niri,0.002154,10.81379196,0.388942289
niri,0.004642,11.3047205,0.157030211
niri,0.01,12.26479863,0.250779186
niri,0.021544,14.05189885,0.259805175
niri,0.046416,18.71272047,0.939681452
niri,0.1,32.3772933,6.119013328
