index  pupil(a)  pupil(b)  pupil(cx)  pupil(cy)  pupil(theta)  cr(cx)  cr(cy)  cr(r)  scene(x)  scene(y)
    1      0.00      0.00       0.00       0.00          0.00    0.00    0.00    0.0      0.00      0.00
    2      0.00      0.00       0.00       0.00          0.00    0.00    0.00    0.0      0.00      0.00
    3      0.00      0.00       0.00       0.00          0.00    0.00    0.00    0.0      0.00      0.00
    4      0.00      0.00       0.00       0.00          0.00    0.00    0.00    0.0      0.00      0.00
    5      8.60      8.04      46.29      44.27         -0.29   60.56   60.44    5.0     53.46    390.55
    6      4.80     10.12      44.52      53.60         -2.02   53.04   35.78   20.0    621.73   2303.51
    7     34.31     27.91      29.81      64.97         -0.83   51.27   64.11   17.0    -21.78    256.61
    8     20.67     16.62      33.40      47.48          0.90   33.71   67.43    7.0    165.69    476.53
    9     11.29      8.81      49.94      40.09         -1.00   21.80   35.40    7.0   -266.71   1436.40
   10     12.29      7.90      54.61      41.55          0.49   59.04   29.16   12.0    419.90   1491.17
   11     10.04      7.08      55.75      42.49          0.26   61.78   31.29    8.0    377.32   1290.74
   12     16.02     15.11      52.65      36.16         -0.09   63.74   49.04   10.0     47.92    149.67
   13     16.48      9.69      51.45      40.07         -0.28   60.26   26.86   15.0    436.18   1529.58
   14     12.45     11.77      59.69      54.50         -0.97   39.90   50.80   12.0    -71.77   1012.16
   15     10.79     10.73      64.23      35.53          1.54   64.94   65.43   14.0    440.66   1686.47
   16     12.88      9.21      49.89      40.36          0.09   74.48   45.72    9.0   -144.14    163.56
   17     13.08     12.61      50.13      30.29          1.39   43.45   46.95   22.0     68.53    210.31
   18     18.19     14.39      68.91      46.59          0.45   40.50   41.43   13.0   -264.15   1509.33
   19      6.54      4.87      67.87      45.19          0.81   80.13   55.30    8.0     24.69     67.35
   20      9.12      7.70      68.50      39.99         -1.01   57.59   54.73    9.0     -3.19    134.86
   21      9.64      6.71      62.74      41.56         -1.19   79.50   50.50    9.0    -24.59     93.52
   22     14.64     14.60      52.95      47.97          0.56   70.71   53.57   12.0    -31.04     72.66
   23     15.41     12.49      49.78      47.50         -0.83   64.67   50.83    6.0     19.04     76.40
   24     15.31     10.41      51.89      46.32         -1.33   52.88   53.12    5.0     58.90      1.06
   25      9.68      9.76      60.07      53.14          0.20   42.30   54.17   12.0   -106.23    515.80
   26     14.57     11.15      55.88      31.99         -0.40   69.13   64.47   15.0    494.47   2495.12
   27     14.85      9.40      39.96      33.43          1.13   64.81   30.55   14.0    -50.02    382.32
   28     11.63      9.00      39.97      43.45         -0.69   50.17   26.22   16.0    586.73   2159.19
   29     11.68     13.96      54.17      50.07         -0.17   34.00   55.00   13.0   -191.74    335.71
   30     12.50     11.02      57.50      51.29         -0.29   48.00   53.03   10.0     18.24    289.59
   31     15.02     13.66      69.72      36.07         -0.26   66.16   62.47    7.0    306.32   1109.37
   32     14.94     15.18      54.10      43.56         -1.45   75.50   48.00    7.0    -79.72    119.09
   33      9.87      7.41      63.08      40.11          0.82   46.52   48.52   19.0   -127.83    147.49
